trial,batch_size,learning_rate,weight_decay,hidden_layers,dropout,loss_name,use_batchnorm,best_epoch,val_rmse,val_mae
97,32,0.0004,0.04,"[256, 512]",0.1,mse,True,2,0.5292183853793264,0.41686155216927034
76,128,0.0007,0.01,"[256, 512]",0.25,mse,True,1,0.5293111999506679,0.4249132890430535
123,128,0.0005,0.007,"[128, 256]",0.25,mse,True,6,0.5293302211148215,0.4245044320163667
47,64,0.0002,0.003,"[32, 64]",0.25,mse,True,24,0.5295376234036843,0.42335786879626736
54,64,0.0003,0.03,"[32, 64]",0.2,mse,True,41,0.5296499153543188,0.425338777457878
156,64,0.0002,0.04,"[256, 512]",0.1,mse,True,1,0.5300076290522924,0.4352160146935881
122,64,0.0002,0.04,"[32, 64]",0.15,mse,True,25,0.5300432644564946,0.4206534966309364
77,16,0.0003,0.04,"[32, 64]",0.15,mse,True,8,0.5301950726338416,0.4273386851470177
51,128,0.0003,0.01,"[128, 64]",0.25,mse,True,17,0.5302194265415636,0.42917880876583253
162,32,0.0003,0.005,"[128, 64]",0.25,mse,True,19,0.5303731192310204,0.4303065346618556
78,64,0.0005,0.005,"[256, 512]",0.25,mse,True,13,0.530438285388296,0.4242889602853673
102,64,0.0003,0.004,"[128, 64]",0.2,mse,True,41,0.5307112188240078,0.4225365340897714
13,16,0.0002,0.04,"[256, 512]",0.1,mse,True,9,0.5309463200093348,0.4242541737360909
10,32,0.0003,0.003,"[32, 64]",0.15,mse,True,25,0.5309841114842844,0.4249166652607241
42,16,0.0004,0.007,"[128, 64]",0.25,mse,True,2,0.5309893060403155,0.42376063148306
20,32,0.0005,0.007,"[128, 256]",0.3,mse,True,12,0.5311738466569451,0.424533363396437
153,64,0.0004,0.01,"[128, 64]",0.15,mse,True,15,0.5314021776569371,0.42535562094077706
113,32,0.0006,0.005,"[256, 512]",0.15,mse,True,7,0.531424677370234,0.4237254365385519
125,64,0.0006,0.005,"[128, 64]",0.3,mse,True,4,0.531597742061686,0.4284023802363158
